type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2021-10-15 13:31:52,52.08614141,5.16947877,5,61.700,,0.062,58,15,19,,
T,2021-10-15 13:02:46,52.08746030,5.16461181,5,57.400,,0.000,223,16,19,20211015-150246,GPS Logger: 20211015-150246
T,2021-10-15 13:02:47,52.08746030,5.16461181,5,57.400,,0.000,223,17,19,,
T,2021-10-15 13:02:48,52.08746030,5.16461181,5,57.400,,0.000,223,16,19,,
T,2021-10-15 13:02:49,52.08746030,5.16461181,5,57.400,,0.000,223,17,19,,
T,2021-10-15 13:03:03,52.08746030,5.16461181,5,57.400,,0.000,223,15,17,,
T,2021-10-15 13:03:04,52.08746030,5.16461181,5,57.400,,0.000,223,15,17,,
T,2021-10-15 13:13:58,52.08749303,5.16469245,5,56.800,,0.125,130,13,21,,
T,2021-10-15 13:13:59,52.08749303,5.16469245,5,56.800,,0.000,127,15,20,,
T,2021-10-15 13:14:00,52.08749303,5.16469245,5,56.800,,0.125,125,16,21,,
T,2021-10-15 13:14:01,52.08749303,5.16469245,5,56.800,,0.188,123,15,20,,
T,2021-10-15 13:14:02,52.08749756,5.16466646,5,56.600,,0.750,154,14,19,,
T,2021-10-15 13:14:03,52.08749819,5.16465850,5,56.600,,0.250,166,14,18,,
T,2021-10-15 13:14:04,52.08749831,5.16465716,5,56.600,,0.125,174,15,19,,
T,2021-10-15 13:14:05,52.08749588,5.16465180,5,56.700,,0.312,184,11,18,,
T,2021-10-15 13:14:06,52.08749588,5.16465180,5,56.700,,0.188,184,11,16,,
T,2021-10-15 13:14:07,52.08749588,5.16465180,5,56.700,,0.000,179,12,16,,
T,2021-10-15 13:14:08,52.08749588,5.16465180,5,56.700,,0.188,179,14,18,,
T,2021-10-15 13:14:09,52.08747245,5.16464300,5,57.500,,0.938,222,14,18,,
T,2021-10-15 13:14:10,52.08747711,5.16462967,5,57.400,,1.000,244,13,18,,
T,2021-10-15 13:14:11,52.08748163,5.16460519,5,57.400,,1.500,263,14,18,,
T,2021-10-15 13:14:12,52.08748570,5.16458139,5,57.300,,1.625,277,15,18,,
T,2021-10-15 13:14:13,52.08748813,5.16455616,5,57.300,,1.750,287,14,18,,
T,2021-10-15 13:14:14,52.08749094,5.16452582,5,57.500,,1.812,295,14,19,,
T,2021-10-15 13:14:15,52.08749701,5.16450226,5,57.600,,1.625,302,13,19,,
T,2021-10-15 13:14:16,52.08749747,5.16447963,5,57.600,,1.500,303,14,19,,
T,2021-10-15 13:14:17,52.08749651,5.16445491,5,57.600,,1.500,301,14,19,,
T,2021-10-15 13:14:18,52.08749270,5.16443169,5,57.800,,1.438,299,14,19,,
T,2021-10-15 13:14:19,52.08749420,5.16441098,5,57.700,,1.438,297,14,18,,
T,2021-10-15 13:14:20,52.08749571,5.16438835,5,57.500,,1.562,294,13,18,,
T,2021-10-15 13:14:21,52.08749819,5.16436572,5,57.200,,1.625,291,14,20,,
T,2021-10-15 13:14:22,52.08749387,5.16434217,5,57.200,,1.688,286,14,20,,
T,2021-10-15 13:14:23,52.08749274,5.16431778,5,57.000,,1.750,282,15,20,,
T,2021-10-15 13:14:24,52.08749525,5.16429230,5,56.700,,1.812,281,15,21,,
T,2021-10-15 13:14:25,52.08749312,5.16427637,5,57.000,,1.375,280,16,21,,
T,2021-10-15 13:14:26,52.08749584,5.16425366,5,56.900,,1.562,279,15,21,,
T,2021-10-15 13:14:27,52.08749978,5.16422432,5,56.700,,2.000,278,15,20,,
T,2021-10-15 13:14:28,52.08749886,5.16419515,5,56.700,,2.000,279,15,20,,
T,2021-10-15 13:14:29,52.08749362,5.16416263,5,56.800,,2.188,277,14,20,,
T,2021-10-15 13:14:30,52.08749123,5.16413245,5,56.700,,2.188,276,14,19,,
T,2021-10-15 13:14:31,52.08749094,5.16409683,5,56.600,,2.312,275,14,20,,
T,2021-10-15 13:14:32,52.08748050,5.16408904,5,57.300,,1.500,274,15,20,,
T,2021-10-15 13:14:33,52.08748540,5.16404704,5,57.400,,2.812,269,15,20,,
T,2021-10-15 13:14:34,52.08747715,5.16400899,5,57.600,,2.875,269,14,20,,
T,2021-10-15 13:14:35,52.08747937,5.16397647,5,57.500,,2.250,269,14,19,,
T,2021-10-15 13:14:36,52.08748607,5.16397077,5,57.600,,1.375,271,14,20,,
T,2021-10-15 13:14:37,52.08747690,5.16396046,5,58.100,,1.250,271,12,19,,
T,2021-10-15 13:14:38,52.08747698,5.16393565,5,58.000,,1.562,269,13,19,,
T,2021-10-15 13:14:39,52.08746830,5.16391536,5,58.400,,1.438,267,13,19,,
T,2021-10-15 13:14:40,52.08747132,5.16390665,5,58.200,,0.875,266,13,18,,
T,2021-10-15 13:14:41,52.08746830,5.16389742,5,58.200,,0.750,265,14,18,,
T,2021-10-15 13:14:42,52.08746675,5.16388888,5,58.000,,0.688,263,13,18,,
T,2021-10-15 13:14:43,52.08746541,5.16387865,5,57.900,,0.812,260,14,19,,
T,2021-10-15 13:14:44,52.08746696,5.16386197,5,57.900,,1.000,263,13,19,,
T,2021-10-15 13:14:45,52.08746956,5.16384093,5,57.800,,1.250,266,15,19,,
T,2021-10-15 13:14:46,52.08747279,5.16382232,5,57.600,,1.250,264,15,19,,
T,2021-10-15 13:14:47,52.08746713,5.16380615,5,57.500,,1.125,255,13,19,,
T,2021-10-15 13:14:48,52.08746633,5.16379827,5,57.200,,0.625,248,14,17,,
T,2021-10-15 13:14:49,52.08746457,5.16378402,5,57.500,,0.312,244,15,18,,
T,2021-10-15 13:14:50,52.08746198,5.16378553,5,57.600,,0.188,241,14,18,,
T,2021-10-15 13:14:51,52.08746256,5.16379223,5,57.500,,0.125,240,13,18,,
T,2021-10-15 13:14:52,52.08746256,5.16379223,5,57.500,,0.000,242,14,19,,
T,2021-10-15 13:14:53,52.08746256,5.16379223,5,57.500,,0.000,243,12,19,,
T,2021-10-15 13:14:54,52.08746256,5.16379223,5,57.500,,0.000,244,13,17,,
T,2021-10-15 13:14:55,52.08746256,5.16379223,5,57.500,,0.000,244,14,18,,
T,2021-10-15 13:14:56,52.08746256,5.16379223,5,57.500,,0.000,245,13,19,,
T,2021-10-15 13:14:57,52.08746256,5.16379223,5,57.500,,0.000,245,14,19,,
T,2021-10-15 13:14:58,52.08746256,5.16379223,5,57.500,,0.000,245,14,18,,
T,2021-10-15 13:14:59,52.08746256,5.16379223,5,57.500,,0.000,246,12,18,,
T,2021-10-15 13:15:00,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:15:01,52.08746256,5.16379223,5,57.500,,0.000,246,12,18,,
T,2021-10-15 13:15:02,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:03,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
T,2021-10-15 13:15:04,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:05,52.08746256,5.16379223,5,57.500,,0.000,246,14,19,,
T,2021-10-15 13:15:06,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:07,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:08,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:15:09,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:10,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:11,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:15:12,52.08746256,5.16379223,5,57.500,,0.000,246,16,18,,
T,2021-10-15 13:15:13,52.08746256,5.16379223,5,57.500,,0.000,246,15,19,,
T,2021-10-15 13:15:14,52.08746256,5.16379223,5,57.500,,0.000,246,17,19,,
T,2021-10-15 13:15:15,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:15:16,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:15:17,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
