lat,lon,pipetype
52.087563,5.164611815,rain
52.087353,5.163792232,sewege
52.087563,5.163792232,rain
52.086045638,5.169441467,rain
52.086003693,5.1702007,rain
52.085599056,5.17125967,rain
52.085214076,5.171433929,rain
52.085986556,5.175623037,rain
52.085839198,5.175646422,rain
52.085623238,5.175549863,rain
52.085603289,5.174589716,rain
52.085597338,5.174787216,sewege
52.08552232,5.173986817,undefined
52.08557232,5.173864771,undefined
52.085444662,5.173808523,undefined
52.086152681,5.176223349,gas
52.086352681,5.176423349,gas
52.085931273,5.176199963,sewege
52.085295715,5.176192755,sewege
